FECHA;PAÍS;REGIÓN;MUNICIPIO;"DEPARTAMENTO
NO TOCAR";VEREDA;VARIABLE;EVENTO;URL ;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-04;COLOMBIA;OCCIDENTE / EJE CAFETERO;ANORÍ;ANTIOQUIA;LOS TROZOS;ARTEFACTO EXPLOSIVO;En las últimas horas un soldado resultó herido al pisar un artefacto explosivo en la vereda Los Trozos, en jurisdicción del municipio de Anorí. Información preliminar indica que le fue amputada una pierna y posteriormente trasladado a un centro médico en Medellín;https://x.com/RCNMedellin944/status/1864254105356505535?t=xClt46aRy9TER35tSKpu0w&s=08;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-04;COLOMBIA;PACÍFICA;CORINTO;CAUCA;N/A;COMUNICADOS;Disidencias piden regalos a comerciantes del Cauca para entregarlos a los niños en Navidad;https://caracol.com.co/2024/12/04/disidencias-piden-regalos-a-comerciantes-del-cauca-para-entregarlos-a-los-ninos-en-navidad/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-04;COLOMBIA;SANTANDERES;CÚCUTA;NORTE DE SANTANDER ;N/A;AMENAZAS;Líderes en Norte de Santander siguen siendo blanco de amenazas;https://caracol.com.co/2024/12/04/lideres-en-norte-de-santander-siguen-siendo-blanco-de-amenazas/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-05;COLOMBIA;OCCIDENTE / EJE CAFETERO;CAUCASIA;ANTIOQUIA;N/A;ATENTADO;Cuatro militares mirieron luego de que el helicóptero en el que se desplazaban, fué atacado por grupos armados. ;https://x.com/UltimaHoraBLU/status/1864679555010605554?t=vwQLizCrop-iZmgauLsgkw&s=08;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-05;COLOMBIA;PACÍFICA;ROSAS;CAUCA;N/A;RETÉN ILEGAL;Miembros del ELN, realizan reten ilegal en el anillo vial del macizo colombiano entre Rosas y La Sierra / Cauca. hurtando camión adscrito a la alcaldia de la Sierra. ;https://x.com/millarcauca/status/1864676770080764160?t=d0H18qLSCbYmYa3MNinWeg&s=0;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-06;COLOMBIA;PACÍFICA;ARGELIA;CAUCA;N/A;ATENTADO;Ataque de las disidencias en medio de un evento de fin de año en Argelia, Cauca;https://caracol.com.co/2024/12/06/ataque-de-las-disidencias-en-medio-de-un-evento-de-fin-de-ano-en-argelia-cauca/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-06;COLOMBIA;CARIBE;AGUSTÍN CODAZZI;CESAR;N/A;RECUPERACION MENORES;Ejército Nacional rescató a dos menores que iban a ser reclutados;https://www.elpaisvallenato.com/2024/12/06/ejercito-nacional-rescato-a-dos-menores-que-iban-a-ser-reclutados/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-06;COLOMBIA;ANDINA;CHÍA;CUNDINAMARCA;N/A;CAPTURA;Urgente: cayó en Chía el narco más buscado en República Dominicana, lo comparan con Pablo Escobar;Urgente: cayó en Chía el narco más buscado en República Dominicana, lo comparan con Pablo Escobar;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;PACÍFICA;CALI;VALLE DEL CAUCA;N/A;NARCOTRÁFICO;Grupos delincuenciales están usando hasta semisumergibles para transportar droga por el río Cauca;https://www.elpais.com.co/cali/grupos-delincuenciales-estan-usando-hasta-semisumergibles-para-transportar-droga-por-el-rio-cauca-0725.html;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;CARIBE;BARRANQUILLA;ATLÁNTICO;N/A;AMENAZAS;Nicolás Petro confirma denuncia de SEMANA sobre las amenazas de muerte en su contra y de su familia: “Confiamos en la justicia”;https://www.semana.com/nacion/articulo/nicolas-petro-confirma-denuncia-de-semana-sobre-las-amenazas-de-muerte-en-su-contra-y-de-su-familia-confiamos-en-la-justicia/202435/;;;;;;;;;;;;;;;;;;;;;;;;;
